id,text,stereotype_a1,stereotype_a2,stereotype_a3,stereotype,stereotype_soft,implicit_a1,implicit_a2,implicit_a3,implicit,implicit_soft
d_18_01,"Las mentiras que parece que se te escapan son las que te cuentas a ti mismo creyendo que tu vision es neutra e ideal, y traeria una sociedad El cientifismo tambien ha causado tragedias enormes y las buenas voluntades no estan carentes de consecuencias terribles.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_18_02,Tu odio visceral no traeria nada bueno.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_18_03,"Quizas si te diese satisfacciones, pero para la mayoria de la sociedad no seria mejor.mejor si se ajustase a tu criterio inefable.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_19_01,Un así tuvieron que juntarse 12 iguales y planear el ataque.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_19_02,Eso no debería de ser posible con una buena vigilancia y anulación de entornos radicales aplicando medidas drásticas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_20_01,¿Tenían mucha culpa los monjes que eran fusilados?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_20_02,Porque aquí nadie es mejor que nadie.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_21_01,"Cierto que ahora el radicalismo islamico esta en auge, pero no por ello hay que tolerar los otros movimientos de odio.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_21_02,"El radicalismo islamico ha de perseguirse, y por su propia naturaleza ha de hacerse desde dentro de las comunidades, apoyando a quienes lo denuncian y teniendo informantes en todos sitios.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_21_03,"Y a pesar de eso no se podra evitar que siga habiendolo, de la misma forma que no se ha podido evitar que siga habiendo asociaciones de ultra-derecha que siembran el odio por los cuatro costados.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_21_04,No se puede erradicar.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_21_05,"Solo podemos educar a la sociedad para que denuncie y no tolere ni apoye esos movimientos, sean de la bandera que sean.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_22_01,"Ale, lo que tú digas, no debato con dogmáticos, ve a ver a tu lider espiritual para que te diga como tienes que pensar.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_22_02,Simple hasta la desidia.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_23_01,El tema es que le basta con recitar textualmente el coran y ningun musulman creyente tiene argumentos para rebatir a Mahoma.,1,0,0,0,0.2689,1,0,0,0,0.2689
d_23_02,No han tenido reformismo y por tanto van jodidos a la hora de discutir,1,1,1,1,0.9526,1,1,0,1,0.7311
d_24_01,Cuando se ponen los interes por medio el terrorismo es un mal menor.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_24_02,Para el civil es una lógica fuera de su alcance.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_24_03,Es que manda güevos que sea de conocimiento público que Arabia Saudí sea el que financie las ideologías extremistas y no se haga nada para empezar por exterminarlas allí.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_24_04,Qué impotencia.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_25_01,"Como idea divertida, estaría bien ir reemplazando a sus imanes progresivamente por gente de aquí con conocimientos suficientes del islam para hacerse pasar por imanes y entregar una versión menos dañina de su religión a sus fieles; y eventualmente preparar el día en que se prohíba este tipo de adoctrinamientos.",0,1,0,0,0.2689,0,1,0,0,0.2689
d_26_01,No son tan iguales si unos estan prohibidos y perseguidos y los otros no,0,0,0,0,0.0474,0,0,0,0,0.0474
d_27_01,"Claro que no, pero no creo que se les atacara por ser religiosos, sino por tomar parte de un bando por una parte, y por ser un colectivo privilegiado desde el feudalismo.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_28_01,Ni lider espiritual ni dogmatico.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_28_02,Simplemente apunto a tu propia simplicidad en el argumento y la peligrosidad del mismo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_28_03,"""Yo tengo la verdad absoluta y quien no este de acuerdo conmigo es un imbecil"".",0,0,0,0,0.0474,0,0,0,0,0.0474
d_28_04,"Yo no creo que seas un imbecil, y no estoy de acuerdo contigo en que tu propuesta sea la solucion para una sociedad mejor.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_28_05,"Si estoy de acuerdo que la religion no deberia regular la vida publica, pero tambien creo que cada cual debe de ser libre y respetado para poder hacer lo que le de la gana en su casa siempre y cuando no moleste ni imponga su libertad ni derechos sobre los de los demas.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_28_06,"Tu en cambio quieres que todo el mundo se conforme con tu vision e ideologia, y eso no esta bien.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_29_01,¿Que libros del islam quieres prohibir?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_29_02,"Si los encuentras, denuncialos y pide que se prohiban.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_30_01,¿Tomaron parte?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_30_02,"Deja de buscar excusas, el ateísmo puede ser igual de malo que cualquier religión.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_30_03,"Lo importante es la tolerancia, no las creencias personales de cada uno.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_30_04,"¿O a caso te perjudica en algo que yo vea en las teleplastias de Bélmez un indicio de que haya otros ""planos de existencia""?",0,0,0,0,0.0474,0,0,0,0,0.0474
d_31_01,¿Me estás diciendo que la Sharia no impone su libertad ni derechos sobre los demás o que la iglesia católica en España no hace lo mismo?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_32_01,yo pensaba que había mas policías de paisano en las mezquitas que musulmanes.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_32_02,"Me equivoqué, hay que endurecer y mucho la vigilancia de estos movimients que rápidamente pueden desencadenar en violencia.",1,1,1,1,0.9526,1,0,1,1,0.7311
d_32_03,"Y lo que dices, igual con cualquier movimiento con papeletas de radicalizarse.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_33_01,por bastante menos se han parado en seco otras sectas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_33_02,"Pero hoy estamos hablando de esto, en dos semanas el político que mínimamente insinúe algo parecido, caba su tumba política por vfacha",0,0,0,0,0.0474,0,0,0,0,0.0474
d_34_01,Comparar el número de muertos y heridos de una y otra es simplemente ridículo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_34_02,"El catolicismo me parece una mierda, como todas las religiones, pero cuando Europa se estaba empezando a desquitar un poco de la religión aparece esta ola de fanatismo islámico cuyos individuos más modernos tienen el pensamiento de la gente de España en los años 40.",1,1,1,1,0.9526,0,1,0,0,0.2689
d_34_03,Una mierda que no tendríamos que permitir.,1,0,0,0,0.2689,1,0,0,0,0.2689
d_35_01,en Europa nunca cogió base el islamismo así que no hay necesidad de darle sitio.,1,0,0,0,0.2689,0,0,0,0,0.0474
d_35_02,Primero que se civilicen y luego ya veremos.,1,1,1,1,0.9526,1,1,0,1,0.7311
d_36_01,Lo que estoy diciendo es que tu odio acerrimo y tu creencia de que tu tienes la solucion y no neceistas escuchar a nadie ni cuestionar tus propias ideas es precisamente el mismo proceso que lleva a los radicales de otros bandos a enrocarse en sus posturas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_36_02,"La sharia, tal como la biblia es interpretable, y el mal esta en la gente que se dedica a interpretarlos para su beneficio y coartando las libertades de la gente tal como tu dices.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_37_01,"Yo no entiendo muy bien a que os referís con ""prohibir el Islam"" o ""prohibir la práctica del Islam"".",0,0,0,0,0.0474,0,0,0,0,0.0474
d_37_02,¿Consiste en prohibir un libro?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_37_03,"¿O prohibir que una persona crea en unicornios, hadas y dioses?",0,0,0,0,0.0474,0,0,0,0,0.0474
d_37_04,¿O tal vez en obligar a toda la sociedad a comer cerdo y beber alcohol?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_37_05,Quizá consista en obligarlos a rezar en las catacumbas romanas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_37_06,"A lo mejor a lo que os referís es a prohibir los discursos de odio que predican muchos imanes, pero es que eso ya es delito.",1,0,0,0,0.2689,0,1,0,0,0.2689
d_37_07,"U os referís a eliminar cualquier subvención o ventaja fiscal del estado, lo cuál sería fantástico pero en la práctica no estás prohibiendo dicha religión si esta se autofinancia.",0,0,1,0,0.2689,0,0,1,0,0.2689
d_37_08,"De verdad, me gustaría saber cómo se prohibe una religión.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_38_01,"¿Como que es su único objetivo, o crees que realmente buscan la salvación espiritual, etc. etc.?",0,0,0,0,0.0474,0,0,0,0,0.0474
d_39_01,"El islamismo cogio buena base en el Reino Unido gracias al gobierno que facilito la financiacion de mezquitas, imanes y escuelas por parte de Arabia Saudi y el salafismo.",1,0,0,0,0.2689,0,0,0,0,0.0474
d_39_02,"Y lo hicieron por dinero, para beneficiar a empressas y politicos.",1,0,0,0,0.2689,1,0,0,0,0.2689
d_39_03,Tu sugerencia de que no estan civilizados sugiere que tu mismo sufres alguna que otra carencia en cultura y conocimiento como para entender lo que es estar civilizado.,1,1,1,1,0.9526,1,1,0,1,0.7311
d_40_01,"claro, hay zonas no-go por toda Europa llena de cristianos radicales obligando a la gente a vivir según sus creencias.",0,1,0,0,0.2689,0,1,0,0,0.2689
d_40_02,Yo no sé si es buenismo o imbecilidad directamente,0,0,0,0,0.0474,0,0,0,0,0.0474
d_41_01,"¿entonces, mejor ignoramos los problemas, hacemos como si no existieran?",0,0,0,0,0.0474,0,0,0,0,0.0474
d_41_02,"Si me preguntas, NO tengo la solución (y sospecho de los que afirman tenerlas), pero leñe, algo habrá que hacer, que ya se han cruzado muchas líneas rojas...",0,0,0,0,0.0474,0,0,0,0,0.0474
d_41_03,"Toca poner sobre la mesa un problema latente, y dejar de mirar hacia otro lado, siempre acorde a las leyes obviamente",0,0,0,0,0.0474,0,0,0,0,0.0474
d_42_01,¿se prohíben sectas?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_42_02,"De hecho, se han prohibido sectas por muchísimo menos que la mierda que arrastra el islam (y no hablo solo de atentados)",1,1,1,1,0.9526,0,0,0,0,0.0474
d_43_01,"No, los lideres de los movimientos sociales, sean religiosos o no, se mueven mayoritariamente motivados por el ego, el ansia de poder, influencia y hambre de trascendencia.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_43_02,En algunas ocasiones si hay lideres que han traido progreso para la mayor parte de la sociedad de forma inclusiva y sin hacerlo a costa de otros.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_43_03,Pero me temo que no seguian propuestas parecidas a la tuya.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_44_01,"No hay escusas, son hechos.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_44_02,"Tolerancia a las creencias de cada uno, porsupuesto.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_44_03,"Pero tolerancia 0, a quien quiera imponer a la sociedad esas creencias como modelo de conducta.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_45_01,Claro que hay que hacer algo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_45_02,Pero no hay que precipitarse ni dejarse llevar por el miedo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_45_03,"Habra que analizar como se radicalizaron, quien pago a ese iman, cuantos mas imanes hay similares, apoyar a las comunidades para que informen y expulsen a los radicales.",0,1,0,0,0.2689,0,1,0,0,0.2689
d_45_04,"Hay que poner todas las puertas posibles al salafismo y el wahabismo, asi como otras ideologias del odio.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_45_05,Hay que hacer mucho.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_45_06,Pero no hay que precipitarse ni buscar soluciones milagrosas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_45_07,No hay que escuchar los cantos de sirena de quienes siembran odio contra unos u otros.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_45_08,Hay que ser mejor que eso.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_46_01,"está claro, medidas preventivas las que quieras.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_46_02,Pero dime que con el uso de tecnologías poner a 12 o 20 personas de acuerdo desde el extranjero tampoco es posible?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_46_03,Prefiero monitorizar una mezquita que una conexión cifrada,1,0,0,0,0.2689,1,0,0,0,0.2689
d_47_01,El mismo argumento que usan los islamistas para hablar de los occidentales matando con bombardeos ninyos en Siria e Iraq.,0,1,0,0,0.2689,0,1,0,0,0.2689
d_47_02,Tu quieres sembrar odio.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_47_03,Tu quieres poner a todo el mundo en grupos donde todos son iguales.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_47_04,Seguramente porque asi te es mas facil de tratar de entender el mundo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_47_05,Pero al mismo tiempo sabes que no todos son iguales.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_47_06,"Mira tu familia, o tus amigos.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_47_07,"Son todos igual de cristianos, de conservadores, de fanaticos? No.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_48_01,"me parece genial que pienses lo que quieras pero si tú líder usa su ""púlpito"" (me da igual la religión) para difundir ideas homófobas, contrarias a la ley, democracia.... pues se le cierra el chiringuito.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_48_02,"Y en general como mínimo las religiones suelen ser supremacistas, homófobas, machistas, excluyentes....",0,0,0,0,0.0474,0,0,0,0,0.0474
d_49_01,"¿Ah si? Tú que estás tan bien informado, que es lo que dicen los musulmanes que iban a diario a la mezquita esta de Ripoll y sabían de qué pie cojeaba el iman?",0,0,0,0,0.0474,0,0,0,0,0.0474
d_49_02,Porque no he leido en ningún sitio que se fueran a denunciarlo para evitar que mataran a nadie.,1,1,1,1,0.9526,1,1,1,1,0.9526
d_50_01,Puedes enseñar lo que quieras que si no te quieren escuchar no va a servir de nada.,0,0,1,0,0.2689,0,0,1,0,0.2689
d_50_02,Y éste es el caso.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_51_01,Lo que propones es la expulsión de toda persona musulmana en europa.,1,1,1,1,0.9526,0,0,0,0,0.0474
d_51_02,Dilo así y no disimules.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_52_01,¿Israel como ejemplo de parar atentados? ¿Poquisimos? ¿Menos que nosotros? ¿Pero vosotros en que planeta vivís?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_52_02,"Según las propias autoridades israelís, esas que lo hacen tan bien parando atentados ha habido desde finales de 2015: 55 muertos y 812 heridos en ataques terroristas repartidos tal que: 184 apuñalamientos 161 tiroteos 60 atropellos 1 coche bomba",0,0,0,0,0.0474,0,0,0,0,0.0474
d_53_01,"Eso no lo vamos a ver, porque para ver eso hay que tener POLITICOS CON COJONES, y no la sarta de pusilánimes que tenemos.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_53_02,"Pero oye, que en la segunda guerra mundial pasó igual.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_53_03,"Todo estaba gobernado por pusilánimes, y cuando la situación se fue ya de las manos, entonces salieron en occidente los líderes de verdad, que pasaron a la historia no por ganar elecciones ni aglutinar votos, sino porque hicieron lo que tenían que hacer.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_53_04,Ese es su puto trabajo y no otro.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_54_01,Guste o no guste la cosa está clara: si no hubiera moros en Europa esto no pasaría.,1,1,1,1,0.9526,0,1,0,0,0.2689
d_54_02,Es un hecho indiscutible.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_54_03,"Y mientras haya moros cada pocos días tendremos un atentado indiscriminado contra inocentes, por muchas medidas de seguridad que pongamos.",1,1,1,1,0.9526,0,1,0,0,0.2689
d_54_04,"Hemos intentado integrarlos, contentarlos, tratarlos como uno más de nosotros, controlar los más radicales... y ya veis el resultado, nada funciona.",1,1,1,1,0.9526,0,1,0,0,0.2689
d_54_05,"A partir de ahí la conclusión que cada uno saque será la misma, sea de derechas, de izquierdas o lo que sea.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_55_01,pues imagina todo lo que había antes... varios intentos de invasión conjunta de todos los paises vecinos árabes incluidos.,0,0,1,0,0.2689,0,0,1,0,0.2689
d_55_02,Israel les dió pá el pelo a todos esos colectivos frustrados,0,0,0,0,0.0474,0,0,0,0,0.0474
d_56_01,Un país así sería un buen sitio al que ir.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_56_02,Pero la mierda de la religión está demasiado incrustada en la sociedad para poder pensar en algo así que no fuera establecer una especie de estado Ayn Randiano en una isla que luego fuera creciendo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_57_01,Tu comentario nada tiene que ver con que el método de Israel sirva para parar los atentados terroristas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_57_02,"Lamento que quieras desviar la atención pensando que cualquiera que te lleva la contraria tenga que ser automaticamente ""el enemigo"".",0,0,0,0,0.0474,0,0,0,0,0.0474
d_57_03,Yo también simpatizo con Israel(aunque no con muchas cosas de las que hacen) y creo que les dió pal pelo y que los vecinos tuvieron lo que se merecían.,1,0,0,0,0.2689,1,0,0,0,0.2689
d_58_01,"Yo no estoy en contra de que exista una regulación religiosa para hacer frente a la intolerancia, sólo critico a los que quieren imponernos el ateísmo a los que no tenemos ese punto de vista.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_59_01,"Obviamente es una exageracion para explicar como hay radicales de todos los colores y que una vez empiezas a echar a unos del pais, por que parar y no seguir con todos los que no nos gustan.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_59_02,Respecto a los nazis. Tu has visto el miedo que dan los neonazis dando palizas a quienes ellos consideran un objetivo?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_59_03,Son terroristas que disfrutan sembrando terror.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_59_04,La misma escoria como los otros terroristas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_60_01,"No a los adultos, el que ya está adoctrinado es insalvable.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_60_02,Me refiero a los niños.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_61_01,El cientifismo tambien ha causado tragedias enormes.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_61_02,"Todo es ciencia, lo demás son cuentos de hadas.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_61_03,Te toca madurar.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_61_04,"Para problemas de índole moral, está la ética.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_61_05,"Que a la ciencia que estudia el mundo se la suda completamente, si acaso entra en sociología.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_61_06,"Que a la ciencia que estudia el mundo se la suda completamente, si acaso entra en sociología. Y si no te gusta, bienvenido al siglo XVIII.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_62_01,La libertad de pensamiento sola no te garantiza nada más que poder creer lo que quieras sin represalias.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_62_02,Eso solo no sirve absolutamente de nada sin sentido crítico.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_62_03,Tu puedes tener la libertad de pensar que los unicornios existen.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_62_04,Pero la libertad de pensamiento no te aleja de creer cosas imposibles o en ideas mutuamente exclusivas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_63_01,"joder, pues opinamos prácticamente lo mismo. el control estricto de fronteras ha funcionado para reducir drásticamente la violencia palestina, pero aún hay claro, pero menos…",0,1,0,0,0.2689,0,1,0,0,0.2689
d_64_01,Prohibirla no se podrá.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_64_02,Con educación subes el primer peldaño.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_64_03,Sacándola de las escuelas el segundo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_64_04,Ya no quedan tantos peldaños.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_65_01,El control estricto de fronteras no ha funcionado para nada.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_65_02,Siguen sufriendo atentados constantes.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_65_03,Pero es que además... no se con que leches lo comparas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_65_04,Israel ha tenido DURANTE TODA SU HISTORIA un control estricto de fronteras.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_65_05,"¿En que momento no lo ha tenido para que puedas decir que ha habido una ""reducción drástica""?",0,0,0,0,0.0474,0,0,0,0,0.0474
d_65_06,¿Reducido respecto a que?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_65_07,La triste realidad es que este nuevo tipo de terrorismo es imposible de parar. Es muy sencillo disimular que no eres radical.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_66_01,"no hablo sólo de control de fronteras, también hay mucho control de movimientos y seguimiento policial serio.",0,0,0,0,0.0474,0,0,0,0,0.0474
