id,text,stereotype_a1
s_869,"En la sanidad pública pagas por los extranjeros que vienen a operarse por la cara, y no hablo sólo de inmigrantes ilegales, es que le estás pagando tratamientos a gente que viene aquí a operarse gratis o por medicamentos que en sus países son carísimos. Aquí se lo pagas tú.",1
s_3718,El examen confirmó que no era una menor.,0
s_974,Este tío es imbécil,0
s_39,Pedrito menudo destrozo estas haciendo tolai,0
s_2765,"A ver ignorante, La prima de riesgo está artificialmente baja porque no es el mercado que compre la deuda española, sino el BCE POR UNA ÓRDEN POLÍTICA. Ahora la inflación viene porque se está emitiendo dinero sin control. Osea el euro cada vez vale menos. La ruina a largo plazo",0
s_2465,"Es mentira y lo sabes.  Ya me gustaría saber que por una vez el gobierno social comunista dice una verdad o hace algo bien.
Recuerda que la política de empleo que gestionas la hizo el PP con vuestros votos en contra, Yoli",0
s_328,"Una agenda que consiste básicamente en subir los impuestos para pagar todas las ayudas,sanidad y vivienda de inmigrantes ilegales. Las ayudas para las familias españolas que lo necesitan ya si eso otro día. URL",1
s_576,"La incoherencia de la izquierda, o coherencia según se mire. La izquierda necesita pobres para perpetuar su discurso derrotista y llorón.",0
s_212,"Q miedo  d gente... en este tweet duele hasta el alma con lo q se lee x aquí... Ojalá existiera otro mundo para repartirnos xq d verdad, ni d vecino se quieren",0
s_1501,"No sólo nos chorizan las carteras, también nos quieren chorizar nuestras costumbres.",1
s_2961,Eso es mentira y lo sabes!!!! Que malas personas sois !!! Tú y el chiquitín... URL,0
s_3492,"...también podrán entrar en casa del ""Líder Supremo de Galapagar"" con la misma impunidad y facilidad??",0
s_446,"Vox no prohibe eso, prohibe que salten un muro y poder usar los medios que el contribuyente español ha pagado. Si quieres acpger acoge, pero legalmente",1
s_2186,"Jajajajajajajajajajaja en que pias vive esta tipa??
Deja de mentirrrr vendehumos",0
s_3371,"La inmigración ilegal siempre será eso, ilegal aunque quieran hacerla legal. Pedro Sánchez eres un traidor a la patria",0
s_1072,La cultura democrática Africana que nos quiere imponer en España,1
s_3684,"Circula de nuevo un texto que asegura que en Algeciras, la Cruz Roja se negó ayudar a un ciudadano por ser español. Es FALSO❌ ❌

URL URL",0
s_1713,"Menor marroquí en Canet del Mar (mena), ahí lo dejo, siento muchísimo la crueldad de las imágenes, valorar el contenido 🤔 URL",1
s_241,"Que alguien le diga al padre portadas que igual tenemos que elegir entre pagar las paguitas de los inmigrantes ILEGALES y su sanidad o pagar a la Iglesia, a ver que pronto se sacude el giliprogresismo de encima.
#AsturiasDefiendeEspaña
#DefiendeEspaña
#DefiendeTusFronteras",1
s_2326,"Es un egoísmo propio de la Izquierda, gasta hoy que alguien lo pagará la deuda hay que pagarla y si no hay penalización lo que significa más dinero de donde cree que sale?? URL",0
s_3844,"Las solicitudes deberán realizarse desde el extranjero, salvo en el caso de las solicitudes:
-Reunificación familiar y las subcategorías de residencia temporal fundadas en razones humanitarias
-Personas cuya estadía sea concordante con los objetivos de la Política Nac. de M y E.",0
s_2413,¿Está acusando usted a los cuerpos de seguridad del Estado de corrupción y falsedad documental para cumplir con una supuesta directiva de bajar la delincuencia a base de informes trucados? ¿Tiene usted alguna prueba de semejante contubernio o es otra paja mental?,0
s_2458,"Las pruebas no sé, pero el ridículo en el que te está dejando es acojonantemente palpable",0
s_3135,Mira ke si Franco no Hera el del Valle de los Caídos a la izda les da un infarto a todos,0
s_3352,Estoy deseando que entremos en su autarquía. Siempre nos fue bien con ella.,0
s_349,"Y tú y los tuyos que ofrecen:
Okupas
Subida de impuestos
Subida del paro
Bajada del bienestar social
Subida de la inmigración ilegal
ERES
Tarjetas black de sindicatos
Enchufados en el gobierno
,.......
Sigo o ya se te cae la cara de vergüenza",0
s_588,Porque lo deciden personas a las que Vd. no votó y no le representan porque gobiernan en función de intereses partidistas de unos cuantos en lugar de los intereses generales de todos. Por eso.,0
s_180,"Los mismos de siempre. Los mismos gilipollas de siempre, quiero decir.",0
s_780,La sanidad pública sufrió recortes por valor de 7.000 millones desde el 2012. España cuenta con 3 camas por ca 1000 habitantes frente a las 3'2 de Italia las 6 de Francia o las 8 de Alemania. Los datos del tijeretazo sanitario hoy en @user,0
s_34,"Cuando no se invertia en I +D y todos nuestros científicos se tenían que y  hacer grandes a otros países , callabais como pu...",0
s_1389,"No hay nada ni nadie más racista q un negro lleno de odio.
No son los Reyes Magos con lo q hay que acabar, sino con estos indocumentados bocazas enviándolos de vuelta a su pais
Eso q pide JAMÁS LO VERÁN SUS OJOS DE DESGRACIADO.
Y si no le gusta, a su pvt0 pais y ya está tardando",1
s_3235,"Ese Pacto Mundial #PorLaMigración  que hoy firma  @user en Marrakech,es un auténtico disparate. Lo único que genera es mayor efecto llamada,incrementar el riesgo de muertes en el Mediterráneo y no poner soluciones. Es cobardía no replantearlo. URL",1
s_803,Luego se quejan cuando los de derecha les criticamos URL,0
s_3126,"El #BlackFriday consume responsablemente, mándale un mensaje a @user: Las
personas no son mercancía!! El viernes 26 en la puerta de sus tiendas!!
240 personas
SIN TRABAJO
SIN INDEMNIZACIÓN
SIN PARO
#CarrefourEnNegro
#ContactBlackReality
@user
@user URL",0
s_190,"A lo mejor con los millones de euros para el mantenimiento del Valle de los Caídos, impuestos no pagados de la Iglesia y grandes empresas, etc daba para hacer algo...",0
s_454,"Lo que no veo bien es que quién entre de manera ilegal tenga todo tipo de subvenciones y ayudas por delante de quién ha entrado legalmente en el pais o llevan años esperando los papeles para su legalización, eso es efecto llamada",1
s_3665,Es el artículo 13 de la declaración universal de los Derechos Humanos. URL,0
s_2090,he dicho la verdad que es lo que os molesta a los mentirosos y ladrones de la derecha,0
s_1331,Le invito a que se vaya a su país de origen. Sería un gran regalo de Navidad,1
s_1340,"No se, debería estar orgulloso de que uno de nuestros amados reyes fuese negro.🤔",0
s_2491,"Ahora lo bloquee yo, así mantengo limpio mi TL que últimamente lo tengo lleno de basura.",0
s_1574,Fuera salvajes de nuestros barrios,1
s_636,Pero que los españoles que no sean seres de luz está bien dadles dinero que son españoles a que si,0
s_2823,"Esto la ministra ni lo menciona, será porque también es una bobada: España sigue líder en paro juvenil en la Unión Europea con un 39,9% de menores de 25 años sin empleo - URL URL",0
s_779,Cuando un partido dice que los inmigrantes ilegales deberían pagar por utilizar la sanidad pública teniendo el problema que tenemos ... Eso es de inhumanos y de ser un hijo de la gran puta. Yo por lo menos no puedo pasar por alto eso.,1
s_1431,Váyase usted a la m13rd4,0
s_2334,Pero no gobierna la derecha es lo importante. El patriarcado tiene la culpa. Hay que hscer estudios de género binarios sobre cómo producir euros matriarcales.,0
s_2440,"Sinceramente Yolanda soy de los vuestros pero no hay nada que celebrar, las condiciones laborales son cada vez peores, la mayoría de los puestos que se ofertan son de empleo temporal y cobrando salario mínimo.
A esto hay que añadir la inflación, trabajamos para subsistir.",0
s_140,ya era hora,0
s_3881,"Sobre la Inmigración/otras culturas o religiones/procedencia:
- Las personas de culturas distintas no se quieren integrar
- Los chinos no se relacionan con los españoles
- Las venezolanas son solo una cara bonita
- Todas las extranjeras son unas liantas
#MentirasPobreza",0
s_1106,Que siga así que los Reyes que lo ven todo saben que se está portando muy mal y le van a traer carbón.... URL,0
s_768,"Tú cotizas para ti, no pasa pagar la sanidad pública, la pública se paga con las compras que hacemos a diario",0
s_3267,"Me descojono de los q os autodenominais ""liberales"" pero os ponéis histéricos con las fronteras estatales...",0
s_3334,"Figura! Que pasa con la financiación Iraní?, veo que para la pasta si que sois multiculturales, os da igual dolares, euros, pesos...Os financian islamistas!ahahahah
URL",0
s_1649,entonces el tambien es racista tomaaa morenoo zaska,0
s_1409,Tu pm si que es racista.,0
s_3556,Atentando en Francia otro 'Caso aislado' #NoBienvenidos #DefendEuropa #StopIslam #islamistasFueraDeEuropa,1
s_184,"Habrá que vender las propiedades de los de izquierdas y vaciar sus cuentas bancarias. Solidario con lo propio, no con lo de los demas",0
s_1286,a que esta esperando extranjería para repatriar a este refugiado ?,1
s_650,"Madre que cacao.
La sanidad no solo se financia con las cuotas de la SS, es una parte.
Otra parte viene del estado de los impuestos directos e indirectos( IVA) asi que un inmigrante ilegal, que compre comida, ya paga iva, asi que en parte contribuye a los impuestos.",1
s_708,"No

Si lee la propuesta, se habla de inmigrantes ilegales, sin más especificación

Y cualquier persona en esa situación que sepa que le va a generar una deuda no irá salvo que se encuentre en riesgo vital

Es una cuestión de Sanidad Pública",1
s_3112,"Me pasó exactamente lo mismo ayer con alguien que refutaba las conclusiones del tribunal de cuentas sobre la etapa de Montero en la sanidad andaluza, en que menos se invirtió en sanidad pública. Decía que no leía panfletos.",0
s_3694,"El plazo para obtener la nacionalidad española es 10 años de residencia ""legal"":

Excepciones:

-1 año. Matrimonio con español

-2 años. Extranjeros de Estados vinculados con España
(por ej Iberoamerica)

-5 años. Refugiados",0
s_734,"Para eso se vota, amigo.",0
s_188,Pues tú y yo,0
s_3984,"Tenemos 4 millones de parados y pronto habrá más de 5 millones, si os vais se nos queda una Seguridad Social de puta madre.",1
s_950,Deportación yaaaaa,1
s_3563,"Una pregunta¿En qué número se sitúa el límite d inmigrantes q puede entrar en un país como, por ejemplo, España q es puerta de entrada a Europa de decenas d inmigrantes ilegales (casi a diario) provenientes de África?¿1 millón, 2, 3...los q quieran venir y les dé la gana? Gracias",1
s_1002,"La mafia podemita va a intentar destruir todo. Van a por los niños. Usan a este personajillo, surrealista de por sí, para acabar con una tradición que hasta a los impresentables de PoTemos llenó de ilusión cuando eran niños",0
s_3204,"Me parece bien que cerremos grifos, abajo los chiringuitos. ¿Comenzamos con el chocho ministerio de igual-da que nos cuesta 525 millones de euros al año?",0
s_1850,No entiende que la subida es ficticia? Cada vez se genera menos y se gasta más. El sector público no puede ser más grande que el privado.,0
s_2679,"¡¡Yujuuuuuuuu!!!
Chupiguay total menestra, seguramente toda esa gente le debe al gobierno su puesto de trabajo, para nada a empresas, autónomos ni ningún fascista que arriesga su patrimonio para crear empleo y pagar impuestos.",0
s_3785,"2020: Agresiones sexuales
Españoles: 215
Africanos: 77
América: 46
Ásia: 7

2020: Violaciones
Español: 23
África: 8
América: 2",0
s_2634,No puedo leer al otro Eugenio. Me tiene bloqueado,0
s_791,20.000 voltios te dejan el peinado de don King de por vida URL,0
s_3402,Mira el Vago de Abascalete... se cree que sabe de lo que habla y todo.. JAJAJAJAJA,0
s_1342,En un País democrático no tienen cabida seres como tú. Eras ilegal y te dedicabas a la venta ilegal de falsificaciones. Has ascendido en la sociedad gracias a un partido político que hunde España y prefiere a gente como tú. VETE A TU PAÍS y mira por él.,1
s_3157,"Solamente es pasado lo que a vosotros os da la gana, comunista de mierda.",0
s_1263,Serigne muy fácil lo tienes de vuelta en patera en la que viniste a tu país y reclamas allí lo que quieras!!aquí da gracias que te damos de comer!!respeta a los españoles mantero garrapata!!,1
s_325,"Los españoles, estarán obligados por Ley a pagar la Sanidad de los inmigrantes ilegales URL",1
s_3827,"ESPAÑA SAQUEADA, POR QUÉ Y CÓMO HEMOS LLEGADO HASTA AQUÍ. TRIGÉSIMO PRIMERA PARTE.-¿Es deseable una España en la que los españoles estemos desunidos, apocados y sometidos?
URL",1
s_1990,Según ella nosotros los repartidores de plataformas digitales éramos precarios cosa que es mentira ahora si somos precarios trabajar por 900€ al mes sin poder quitarte 1 solo pedido ahora en el invierno que antes no Salias ahora obligados a salir lo has hecho de pena,0
s_2107,"Por ejemplo, te dice que hay 900.000 personas más ocupadas que en 2008... y no te dice que hay 1.800.000 personas más en España que en 2008.",0
s_2938,"Toma chiqui, aqui la realidad. El empleo publico y los ERTE.

URL",0
s_3787,"Y respecto a esa minoría, malas personas hay de todas las procedencias, culturas...O qué opinas de los políticos que te roban, o de los empresarios que explotan. Es que directamente el mundo es lo que es gracias a explotar a Asia, Sudamérica y sobretodo África.",0
s_2044,"Ahora va y lo apoya con 'datos' de Alvise, 😉",0
s_1187,"Mbaye es un meme andante. No m creo q ni el piense eso, solo repite lo q le han dicho",0
s_562,Manía tienen de insultar...,0
s_1375,"Yo pido acabar politicamente con tipos como este independientemente que sea blanco, negro o amarillo. La estupidez no entiende de razas.",0
s_1530,"Paso de comentar porque si escribo lo que pienso, me cierran la cuenta y todas las que abra de aqui hasta el fin de los dias.",0
s_3894,realmente abascal acaba de achacar el 70% de agresiones sexuales que ocurren en España a los inmigrantes. Si se esfuerza más para ser más xenófobo no le sale. #DebateElectoral,1
s_3111,"Cierto...
Es de traca. Argumentos de un economista que podría no compartir, pero chico! di por qué. Ah, no... internet y tal y tal... 🤦‍♀️🤣",0
s_3289,"Nuestro presi no tiene ""narices"" para luchar por España! Y si le aseguran el colchón ?",0
s_711,"Depende del juez, no de usted.",0
s_3531,"El tío este es un tonto malo, malo, desde q se impuso por sus santos g... asaltar la Moncloa ha ido haciendo dos a los españoles una tras otra pero todo malo",0
s_2252,"La subida del ipc, el encarecimiento de combustibles y luz. Eso si, Sánchez con 1200 asesores, 100 millones en cambiar la flota de vehiculos oficiales... Es que no puede ser que nos meen y digais que llueve.",0
s_471,"No, malditos no, ilegales. Hay que distinguir lo que es legal de lo que no lo es.",1
s_3405,Ojalá tengáis que emigrar,0
s_4236,Este gobierno es responsable.,0
s_3993,"19.8 CATALUÑA orden publico
"" Ahora Hospitalet""
--------------------
El 28/6  2 inmigrantes menores de edad mataron a un español de 50 años en L'Hospitalet durante un robo con violencia.
Hoy, 17/7 acaban de quedar ambos en libertad condicional.
(@user 17/7)",1
s_952,"Si no le gusta, pa su querida Senegal, qué se compre tres metros cuadrados de selva y que se pierda en ella, qué sabrá el de reyes si es republicano😁😁",1
s_3078,Al PPSOE NI AGUA,0
s_69,"1 No es racismo ni xenofobia, es sentido comun y que a uno no lo tomen por tonto. Si yo pago por un servicio quiero que se me preste ese servicio. Me da igual si despues de atenderme a mi atienden a alguien que no lo haya pagado pero que me atiendan.",0
s_459,Son nacionalistas y liberales. Trump no se ha inventado nada xd.,0
s_3044,Y qué quieres que rebatamos? Qué en 2021 había más paro que en 2008?,0
s_420,"Ojo, que vienen curvas: el bloque de INMIGRACIÓN",0
s_3871,"Permiso de residencia para extranjeras víctimas de violencia de género.
#abogado #extranjeria #residencia... URL",0
s_207,"Creo que los inmigrantes no son el problema. Lo es todo lo que se ha robado a manos llenas por quienes debían velar por el bien común. Rescates bancaris, ejército e iglesia y monarquía son los gastos más elevados de nuestro estado. Justo en los que se debería recortar no invertir",0
s_2267,"EL DÉFICIT DE ESPAÑA se ha disparado en 2019, que venía controlado como cusndo el ZP ganó las elecciones con el golpe de estado del 11M desde Aznar. No me gusta el PP pero ya mentir descaradente y poner datos falseados como ejemplo. En europa nadie se cree las cifras del gobierno",0
s_3414,"LAS 8 MEDIDAS MÁS POLÉMICAS DE @user ¿ULTRADERECHA? NO, ULTRANECESIDAD!!! @user @user

URL",0
s_2577,"""Ya se fueron con el pp"" menuda gilipollez que has soltado ""amigo""",0
s_317,"Mucha agresividad ,se detecta",0
s_3000,"Te lo agradezco.
Yo no puedo hacer nada.
Como te comenté antes, nosotras no tenemos derecho a cobrar paro y yo no tengo ms ingresos que lo que gano.
Llevo años buscando otra casa pero nadie te paga el smi",0
s_1131,Si los 3 Reyes Magos fuesen blancos nos quedaríamos de que no hay ninguno de otra raza,0
s_1772,"39, 8 de para juvenil ( el mayor de Europa)
17,2 de paro en mujeres ( el segundo mayor de Europa )
Los ertes/eres a full ..
20 m de 48 trabajando y te pones contenta , explotando a los autónomos para pagar chiringos y paguitas
Para proteger así , mejor no hacerlo URL",0
s_2218,"MENTIROSO COMPULSIVO como tu jefe el PSICÓPATA

YA NO CUELA la flauta de Hamelin. URL",0
s_3441,"La emigración es un fenómeno secular, global, inevitable y en general positivo.Pretender evitar un fenómeno natural y inherente a la historia d la humanidad muestra lo alejado q puede estar d la realidad alguién cuya trayectoria personal se limita a ser un protegido d politicos",0
s_2779,"Bueno, ese argumento es muy tramposo debido a que no puedo predecir el futuro, pero lo que sí puedo afirmar es que es altamente improbable que así sea por la acción de la competencia.",0
s_763,"Eso sí, si es inmigrante ""ilegal"", que le den por culo al abuelo.",1
s_2307,"Pues supongo que funciona actualmente, pero se pueden hacer mejoras",0
s_2610,"🎵 En un país multicolor,
nació una niña bajo el sol.
Y fue famosa en el lugar,
por su alegría y mendacidad.
Y a la pequeña ministra le llamaron Yolanda🎶
¿En serio se cree lo que dice? Usted en qué planeta vive. Salga a la calle y pregunte.",0
s_2933,"enserio los fachapobres exigiendo coherencia a la gente, teneis un lavado de cerebro de traca y vais de iluminados,serviles del amo y chivatos que soys,y encima mentirosos negando las corruptelas de vuestro rey y partido, sigue con las horas extras chupandosela a tus amos.",0
s_2740,Porqué reformar como dice Pedro la reforma laboral? Actualmente funciona o no???? Esto es para mear y no echar gota URL,0
s_2603,Y mira la cantidad de simplones que le dan me gusta sin tener maldita idea.,0
s_1959,"En un privado tampoco pagas por entrar. De hecho, en situación de emergencia te tienen que atender y tal... Ya son públicos los hospitales privados? En serio se da cuenta que no tiene por donde coger lo de la iglesia?",0
s_963,Por qué no mandan a este carajo de vuelta a su pueblo natal? Que vaya a joder allá!,1
s_838,"El inmigrante africano q viene no está cualificado, posee otra religión, cultura e idioma pero aspira a que sea España quienes lo mantengan a costa d nuestros pensionados. No todos son delincuentes pero están sobrerrepresentados en nuestras cárceles. Así que NO más inmigración RT URL",1
s_1577,"Si esta noticia es verdadera, TEN HUEVOS de proponerlo de manera seria que verás donde vas a volver. Ya está bien que vengan de fuera a tocar los huevos. Como díria un grande, váyase a la mierda.",1
s_115,"¿Será la presidencia de Sánchez una oportunidad para recuperar los votantes perdidos o la puntilla definitiva a su partido?
Creo que se van despejando las dudas..",0
s_3227,"Yo tengo tres ciervos con los que pasó el invierno sobrado yo tengo 40 mantas con las que pasó el invierno sobrado en un caso uno con un ciervo pasa el invierno y el otro con 20 mantas por familia numerosa tribu

Un ciervo por 20 mantas es valor por valor...no",0
s_523,"&gt;&gt; (estoy sorprendida de que ""sólo"" tengo que pagar 900€ para la matricula este año), ni es ""raro"" en Madrid ver mendigos (simplemente los echan a patadas fuera de la vista de los turistas), ni hay ""amnistías"" para los inmigrantes ilegales que trabajen 3 años &gt;&gt;",1
s_2219,"Cuales? Porque son los mismos que según ella están dejando paso a una “recuperación justa”: temporalidad, despido flexible y ertes entre otros. Es una mentirosa que os toma por tontos (y parece que acierta)",0
s_2614,"No digo que el gobierno sea comunista, pero Podemos lo es, y Mas Bolivarianos tambien los son. PSOE son socialistas que para el caso es caso lo mismo...Todo cuanto salía del socialismo siempre ha sido una mala noticia",0
s_35,Sois unos recogedores de salvado y expendedores de trigo,0
s_2255,"Cuando quiten las subvenciones me cuentas en cuánto esta el paro y en cuanto está el paro juvenil, campeón",0
s_1789,"Mi tweet está directamente relacionado con el de la Ministra, entiendo perfectamente que le puedan estar poniendo trabas (al fin y al cabo es lógico, es un gob. de coalición), pero me parece hipócrita que saque pecho con esta bajada, cuando ella es la primera que sabe lo que hay.",0
s_3790,LOL sino ves que es una problema que los inmigrantes siendo poco mas del 10% de la poblacion cometan la mitad de las violaciones de este pais....y de estas en manada o violentas basicamente la totalidad de las mismas,1
s_3323,"Pues sí, la vida es un derecho humano. Lo tuyo en cambio más que libertad de expresión se llama racismo. Claro que no sorprende.",0
s_1533,"Pido q te largues y dejes nuestras tradiciones, el mayor racista eres tú",1
s_843,Miserable eres tú diciendo q en Venezuela se come tres veces al día cuando la gente se muere de hambre y huye del país. Miserable eres tú defendiendo la explotación de inmigrantes por mafias q se dedican a la fabricación de productos ilegales.,1
s_1916,"Impresionante Rajoy se encontró 17.165 Millones de personas ocupadas y os dejó 19.528, con una reforma laboral que trajo empleo a ESPAÑA (2.400.000 de personas ocupadas+)y tu que has creado menos de 500.000 personas ocupadas en tres años (gracias a esa reforma) la quieres derogar",0
s_3944,Los que delinquen deberían ser expulsados. En eso estoy de acuerdo. Pero no usar las violaciones para pedir eso y menos tratando de dar a entender q son de fuera quienes cometen esos delitos xq eso es minimizar los de los españoles. Y menos dando datos falsos. La gran mayoría,1
s_1742,"...  por motivos racistas, u otros referentes a la pertenencia de sus miembros a una etnia, raza o nación, o por su origen nacional.",0
s_3690,"YA, Ana. Piensa que la mayoría de población llegada de fuera es joven. Súmale que son de mayoría masculina. Súmale la condición socioeconómica.

Ten en cuenta los menos que habría en el lúmpen eliminando tanta familia de aquí de siempre que vive de rentas y del trabajo ajeno...",1
s_3102,HAY subida del SMI en Venezuela  del 2000% cada año de media. El SMI MENUAL no da para comprar una caja de huevos. Sois sectarios terraplanistas. LA IGUALDAD ENTRE HOMBRES y MUJERES no tiene nada wue ver con la izmierda. LA IZMIERDA se opuso a que las mujeses votasen en 1933.,0
s_431,"Punto 59. ""Eliminación del acceso gratuito a la sanidad para inmigrantes ilegales (...)"". Si vienen de fuera, que paguen, ¿no? Sólo quieren al inmigrante para pagar.",1
s_121,Me parece frivolizar. La inmigración ilegal es un problema serio y lo que va a hacer crecer la xenofobia va a ser no querer asumir que no se puede acoger a todo el que se echa al Mediterráneo en una embarcación patroneada por mafias.,1
s_840,"Miserable es usted q promociona economía sumergida,inmigración ilegal,y después funde a impuesto a autónomos y pymes q hacen encaje d bolillo para mantener negocio y con ello el 80% d empleo d este Santo país para mantener tu sueño húmedo bolivariano",0
s_2737,Siempre hay alguien pidiendo fuentes como si fueran a desvelar algún truco que permita mantener la mentira en el aire un poco más. Luego cuando le dices EPA no dicen nada.,0
s_2370,"El IPC se dispara al 5,5% en octubre, la mayor subida en 29 años
El encarecimiento de la energía y los alimentos dispara la inflación a niveles no vistos desde 1992",0
s_1958,Teneis muy claro que vuestros votantes son retrasados mentales,0
s_675,"... Tengo familia lgtbi e inmigrante pero quillo, en serio, si no te sale de los huevos leer y entender las cosas no merece la pena discutir contigo.",0
s_2486,"Eso no es crear empleo, es comprar empleo. Por lo tanto no creces, aumentas el gasto, no el ingreso. No es ni siquiera complicado, puedes crear miles de trabajadores públicos que cobren poco y no hagan nada, pero la deuda crecerá, y tarde o temprano, vendrán recortes y despidos",0
s_3858,"Antonio Segura Abogados: Las mujeres extranjeras víctimas de violencia de género, en... URL",0
s_2911,"Como veo que andas un poco perdido te dejo unos datos, más de 707 mil empleados privados por menos de 150mil publicos
URL",0
s_795,"TÚ metes inmigrantes ilegales, saltándose la ley, por la fuerza y la violencia en detrimento de los inmigrantes que si la cumplen.
Pones en riesgo la salud de los nuestros.
Tratas igual al NO cotizante que al que ha entregado su vida por España.
¿Pero los nazis somos los demás?🤔",1
s_2153,sabes cómo funciona el IPC? 😂 sabes porque se ha dado? es que es de risa oye,0
s_2148,"¡consensua¡ esto es que ella presenta un proyecto y la EU le marca unos mínimos y unos máximos, esto no tiene nada que ver con que la EU exija una reforma laboral y menos cómo la yoli poli quiere. De ser una ley que la EU viera con buenos ojos ya estaría aprobada desde hace días.",0
s_3979,"Podemos como siempre diciendo que el inmigrante legal e ilegal son iguales.
Pero luego en el resto de paises hasta los que ponen de ejemplo si que hay diferencia.",1
s_1266,Que te den por culo Serigne,0
s_2569,¿Y los de ERTE? ¿Te los comes?,0
s_3018,"Un crecimiento del 0% del empleo público significa que no se cubren las bajas y jubilaciones de médicos, enfermeros, profesores o policías.
Un crecimiento negativo significa mandar a la calle a miles de profesores, médicos, enfermeros o policías.",0
s_2055,"Los datos del miinisterio son correctos, y los del periódico también. Los del periódico explican los del ministerio.",0
s_3180,"Y legalizamos el PP y al PSOE y yo te apoyo por cierto a vox no le financian terroristas iraníes?
Ilegalizado también yo te apoyo",0
s_2837,"De las obligaciones impositivas que todos deberíamos cumplir y que hay muchos ""no funcionarios"" que  no lo hacen a diferencia de los funcionarios que tenemos nuestras nóminas totalmente fiscalizadas.",0
s_1398,Lo más urgente es expulsar a dicha basura a su país de orígen.. URL,1
s_3363,Aquí está en todo lo que se basa URL,0
s_605,"Te llamas BetikoGameplays, por favor ten la decencia de no opinar sobre nada, gracias.",0
s_3883,"Derechos laborales y de #extranjería de las mujeres víctimas de #violenciadegénero, por Luciana Torrents URL",0
s_669,"A ver que siempre politizan todo. No es por defender a vox, pero podemos deducir que ese tipo le vota a vox? Si vox siempre dice q condena la violencia intrafamiliar? Osea cualquier tipo de violencia. Y no, los medios no han normalizado el fascismo, han normalizado el comunismo.",0
s_3945,"Aunque sólo fuese una. Tan sólo una violación perpetrada por un inmigrante ilegal, merece su extradición inmediatamente sin ni siquiera previo paso por prisión.",1
s_2139,Señora... la única malvada es Yolanda que no deja de mentir y usted que seguramente estará financiada por sus secuaces,0
s_3428,"Tranquilo que ya llegará nuestra hora, la hora de la verdad!!  Ánimo y adelante!!!",0
s_828,Rico no serás pero muy listo tampoco.,0
s_1709,"Os mando un vídeo de un centro educativo para los emigrantes menores de edad que entran ilegalmente en España.
Te ruego que lo difundas para que España se entere,de una vez como nos agradecen que los acojamos. URL",1
