id,text,implicit_a2
d_1243_03,"Encima muchos malnacidos ( los verdaderos culpables de esto) empezarán a decir que no hay culpar a los inmigrantes o algo asi, mira yo los culpo por sus actos, y si en algun pais hay un español criminal y violador ntiendo que lo expulusen de alli, aunque mejor que lo maten a que vaya a España.",0
d_371_02,"Y por supuesto, este tipo pasará dos añitos en la carcel y luego en nuestras calles, con nacionalidad, paguita y plan de reinserción.",1
d_2049_03,"Además, sólo uno de cada tres musulmanes británicos (34 por ciento) llamaría a la policía si creyera que alguien de su entorno ha tenido alguna relación con los yihadistas.",1
d_1054_01,"ESTE GOBIERNO NO CUENTA LO QUE NOS CUESTA A LOS ESPAÑOLES DEL DINERO QUE PAGAMOS EN IMPUESTOS, MANTENER A ESTA PANDILLA DE MENAS QUE LA MAYORÍA DE ELLOS VIENEN SABIENDO QUE LES VAMOS A MANTENER A CUERPO DE REY Y CON UNA PAGUITA POR NO HACER NADA BUENO SOLO EL MAL.",0
d_2268_01,"Que cosas, los voxeros que decían que venían en pateras pagando 6.000E a las mafias y jugándose la vida y ahora resulta que vienen en pasillo o ventanilla por 60E desde Marruecos.",1
d_1617_01,"Ya no es solo porque la voluntaria se deja abrazar en pandemia por un asaltante, es que la C.Roja ha perdido el oremus.",0
d_455_02,Me encanta ver cómo viene a Europa a cobrar paguitas gente que en sus países deberían de estar pudriéndose en una cárcel de mierda.,0
d_1189_15,Cierre de fronteras YA.,0
d_540_01,"Y darles una paga, no se os olvide la paga... TRAIDORES.",0
d_309_02,sabes cuantas cabezas cortan desde los 10 a los 15 años?,0
d_1522_01,"A ver que me aclare, ¿le da un abrazo a una persona que no conoce, que no sabe si está vacunado, ni si tiene alguna enfermedad?",0
d_1550_01,"Vete abrazarte con los menas de Ceuta o con los de tu barrio, pero sin mascarilla, y luego me lo cuentas, asi se te pasan las ganas de vomitar seguro.",1
d_122_02,Si cualquier otra religión se dedicase a predicar las barbaridades que dicen esta gente las prohibiría también.,1
d_1994_04,O saben estar o a su casa.,1
d_556_02,Es mejor darles una paga y así tienen el voto asegurado.,0
d_592_02,"Si no les pueden expulsar, nada de ayudas y nada de regularizar su situación.",1
d_2069_03,"La verdad es que viendo lo que se veía en las playas, para hacer teatro valen muchos de ellos, todo hay que decirlo",0
d_2060_01,La devolución debe ser urgente y necesaria.,0
d_76_05,Hasta que no hagan sus estructuras transparentes poco caso hará de que la mayoría de musulmanes quieren la paz.,1
d_1403_01,"A ver cuanto tardan en decir que se está lanzando una falsa sensación de inseguridad desde los medios, que estos jóvenes marroquies blabla...",1
d_2066_06,"¿que si ademas okupa el dueño del piso le debera pagar agua, luz... porque sino le denunciara por coacciones?...",1
d_1809_01,Dicen que estan todos los aeropuertos de Marruecos con moros haciendo colas.,0
d_1054_03,¿ SE HA INTERESADO EUROPA POR SABER ALGO SOBRE ESTE DESGOBIERNO PARA IMPONER MEDIDAS PARA QUE EL DINERO  NOS PRESTEN NO SE MALGASTE EN ESTA GENTE?,1
d_999_01,"Pues yo sí quiero que se vayan de mi país, no se adónde pero que se vayan.",1
d_2069_01,"En los años 20 del siglo pasado, hace más de 100 años, ya existían este tipo de organizaciones y mira lo que han conseguido, engordar al monstruo que ahora ya nos devora.",0
d_1389_01,"Son los mejores, los más fuertes.",1
d_2075_06,Han entrado desde Marruecos y a Marruecos hay que mandarlos.,0
d_2448_03,devolverlos en cajas.,0
d_2190_02,"Yo creo que el 99,99 % de la gente que entraba era simplemente para encontrar trabajo.",1
d_2190_03,"Que la forma en que lo hacen sea ilegal y rechazable, por supuesto.",0
d_1059_02,"Hay inmigración legal, integrada y muy necesaria.",1
d_1168_01,"Pues lo siento, pero me pregunto qué pintan esos delincuentes en España... al menos fuera de una cárcel.",0
d_2503_01,El que entra ilegalmente no puede tener derecho en el futuro a permiso de residencia o trabajo en España.,0
d_1193_03,Basta de gasto social inútil.,1
d_1245_01,sin mano ultradura no van a cambiar.,1
d_2455_01,"LA CARCEL, LOS TRASLADOS, LOS JUICIOS... DENMASIADOS RECUROS Y DINERO PARA ALGO QUE NO ES DE INTERÉS, ¡FUERA! DEL MISMO MODO QUE ENTRARON!.",1
d_2532_03,Pero tú te tienes que quedar al final de la fila.,0
d_1406_01,Asco de delincuencia extranjera.,0
d_1107_04,"hace poco , las TV progres emitían un vidio del trato que reciben los menores por no cumplir las normas , de los delitos  las TV no se pronuncian ...",1
d_1923_03,Con el Coran en la mano .,1
d_2272_01,El efecto llamada de Pedro Sanchez que a convertido a España en el pais de los delincuentes.,1
d_2000_01,Los desafortunados monos en la parte inferior de la jerarquía son atacados en repetidas ocasiones por quienes están más arriba en la manada.,1
d_1113_02,"Han pasado penurias, han robado y han hecho de todo para poder salir de Marruecos y seguir haciendo lo que en Marruecos aquí, pero sin impunidad.",0
d_873_01,"son sus costumbres, cabrones racistas.",1
d_1786_01,"Pues los mandarán aquí, que están como reyes viviendo del cuento y de otras cosas",1
d_2426_01,"... en sus cárceles sí, sería disuasorio, pero las nuestras son ressorts con gimnasio y piscina sin trabajo obligado, y nos cuestan 3000 al mes cada uno.",1
d_1529_01,"En la defensa de las fronteras se trata de proteger la frontera, no de salvar a quienes la violan.",1
d_1273_01,"Yo me iba a preguntar qué cojones hacían tres súbditos del Reino Alahuita emborráchandose, agrediendo brutalmente a vecinos con palos y muletas y abusando sexualmente de una niña menor de edad;",1
d_1276_01,"acá tenés delincuentes españoles si querés, pero en este caso los tratan de ""personas"" o ""ciudadanos""",1
d_2167_01,"Las cabezas pensante de la Unión Europea les preguntariamos,¿qué podrían hacer con toda esta pobre gente?",1
d_1853_01,"Yo añadiría,  donde todos echan lo que no quieren en sus países.",0
d_364_01,Religión de paz,1
d_2426_02,"Allí se suelen hacer yihadistas gracias al imam de la prisión, hay muchos casos.",1
d_2306_01,"estan a las pueraas del chalet de galapagar pidiendo papeles y paguita, el mantero podemita se okupara de ellos..",1
d_1138_02,Esos otros son alimañas y 0,1
d_114_01,¿Pero los terroristas no son musulmanes?,1
d_2448_01,"Lo que faltaba llueven ILEGALES, con país dominado por la Ultra Izquierda Radical todo es posible.",1
d_1826_01,"se ha corrido la voz en marruecos que aqui aqui pueden violar a quien quieran y les dan una paga, es normal que hasta simulen emergencias sanitarias para entrar.",0
d_921_01,"es que en su país es legal, y tu eres un racista y un supremacista (probablemente blanco, de los peores)",1
d_1905_02,"Según su libro la ""tierra de islam"" debe serlo para la eternidad, recuperarla es un deber sagrado.",1
d_2431_02,Gracias a Abascal sabemos que se llevan el 90% de las ayudas al alquiler.,1
d_583_01,"También podemos hacerlo con todos los venezolanos que han tenido que huir de su país, de su casa, por la violencia chavista... pero, ah, no esos no que no les votarían a ellos, son más de delincuente común.",1
d_1985_21,¿Hay que mirar el colo para justificar o entender la precariedad con la que viven?,1
d_1180_01,Rocío Monasterio (VOX) invita a Díaz Ayuso (PP) a acompañarla para conocer la realidad que se vive en la calle con los MENAs.,1
d_1471_01,"yo no puedo besar a mis padres , pero ésta individua que por lo que he liedo ni es enfermera, se puede restregar contra un ilegal",1
d_1656_02,Ya basta de tanta idiocia con los africanos.,0
d_1611_02,Una cosa es estar en contra de la inmigración ilegal y otra ser racista.,0
d_1980_01,"Respecto al punto a) de #_23, curiosamente de los latinoamericanos también hay infinidad de quejas de los de siempre, no hay más que ver los hilos de las noticias relacionadas con latinos cometiendo crímenes violentos.",0
d_580_02,"Exactamente de la patria de los que van por el mundo buscando el sol que mas calienta, para luego ciscarse e intentar destruir la convivencia de la tierra que le dio cobijo generosamente, como a él mismo y su familia.",1
d_488_02,Se dice migrante y las personas no son ilegales que me lo ha dicho la Marquesa de Galapagar.,0
d_1149_02,"Inmigración si, pero inmigracion constructiva que participa en el desarrollo del pais que les acoge.",1
d_494_01,Viene una barca con uno sin cabeza y les dejan entrar a España jajaja venga dentro de nada todos con armadura para evitar que nos maten.,0
d_1120_03,"Y no te defiendas y les produzcan algún mal, estando en tu derecho.",0
d_1908_01,"Ya. Sólo que aquéllos eran franceses, y éstos moros.",1
d_980_04,¿Pero qué derecho tienen los delincuentes a permanecer en otro país?,0
d_1151_02,"Por si fuera poco los elegidos en las urnas, que no se de donde los sacan los partidos, se les suma todas las tropelías de todos estos ""turistas"" que nos invaden, que entran ilegalmente en España, se les da de comer, algunos si no todos su dinerito para el pegamento, y a la calle a ver que cae, pero también como ellos ilegalmente.",1
d_589_04,"Dicho esto y por eso mismo, hay que exigir que cumplan sus deberes (buscar trabajo, no delinquir, respetar las costumbres del pais que te acoge, pagar impuestos...etc...etc...etc).",1
d_634_01,Es de justicia cuando la gran mayoría de ellos han estado trabajando en sectores esenciales en la pandemia y generalmente explotados por no estar legalizado.,1
d_1433_01,"Pero algunos aún tienen la manía de que no se diga de dónde son los delincuentes ""para no estigmatizarlos"" mientras gritan ""el violador eres tú"" a cualquier hombre.",1
d_1143_02,Supongo que como es tan buena comprenderá la violencia de estas personas.,1
d_1774_01,"A Marruecos y a los moros -es correcta la denominación-, hay que pararles los pìes con el único lenguaje que entienden: la fuerza.",1
d_655_01,"En cuanto a los de VOX y el campo, puede que me equivoque, pero habitualmente los votantes de VOX son ciudadanos trabajadores que están cansados de que se les cruja cada mes para pagar las pensiones de españoles que no trabajan, delincuentes y extranjeros que vienen a ver qué pillan (si no hay trabajo, pues ayudas).",1
d_505_01,"És lo que tiene la inmigración sin control que te entra gente así, este por qué mira es un caso extremo y ni se espero a desembarcar.",1
d_2294_01,"No me cansare de decirlo: todos estos inmigrantes ilegales, ocupas, violadores y asesinos ""reincertados"", a las casas de los votantes socialistas, comunistas, independentistas y etarras y que se hagan cargo de ellos.",0
d_2517_01,"Claro¡ son pobres, habrá que darles una paguita, y derecho a voto.",0
d_2228_01,A ver Luna: cuando se te va a caer el alna al suelo es cuando esto se llene de gente que procede de modelo s sociales incompatibles con nuestros valores.,1
d_2066_03,"¿que el de la foto y otros muchos iguales sin trabajo deberan ser mantenidos por el resto?,",0
d_2255_01,multa no porque viajan sin blanca pero una temporadita en la cárcel con billete de vuelta a la salida les va a hacer pensarse si les compensó la aventura.,1
d_1226_01,Yo no quiero que está gentuza entre en España.,1
d_2158_01,"Lo único que me consuela (y alegra al mismo tiempo) es que cuando vengan cortando brazos y cabezas, las de estos gi..p...llas serán las primeras.",0
d_1501_02,"Por cierto, ¿A cuantos de estos invasores africanos, tienes alojados en casa?.",0
d_1701_01,"Se prevé que Europa cuente con 75 millones de musulmanes en 2050, con lo que caminaría hacia EURABIA.",0
d_2075_07,"Se abre la puerta y a Marruecos, que se haga cargo de sus menores, que para eso son responsabilidad suya.",0
d_691_02,"Si hacen eso, mañana tenemos a 50 millones de Africanos listos para cruzar el estrecho.",0
d_1873_01,pues nada papeles para todos,1
d_269_01,"Merece una paga y un piso, almenos nos libró de un negro más",1
d_2485_02,El que entra ilegalmente no puede tener derecho en el futuro a permiso de residencia o trabajo en España. Esto cortaría de raiz la inmigración ilegal.,1
d_1822_01,Nuevos pagapensiones a disfrutar del sistema de ayudas de Español pagados a costa del contribuyente.,1
d_2070_02,Tras lo de ayer tambien he quitado la cruz de la renta para que no donen la parte correspondiente de mi irpf a ongs que fomentan el tràfico ilegal y la ocupación promovida por un rey infantiloide.,0
d_591_02,Lo que tenían que hacer es expulsar a los ilegales y no conceder más permisos de residencia.,0
d_322_01,Futuro delincuente reincidente en España.,1
d_752_01,"Pues, muy bien. Alguien tendrá que recoger la fruta o dar yeso en las obras.",1
d_686_02,"Para ser competitivo en precios o ganarse su cuota de beneficio empresarios, contratan inmigrantes desesperados x trabajar en condiciones indignas y les prometen que el resto del sueldo se lo llevarán a costa de todos los españoles.",1
d_1289_02,"Eso sí que es repulsivo: diferenciar según la nacionalidad para ocultar los delitos cometidos por españoles o incluso negarlos (en el caso de las violaciones o la violencia de género, si los acusados son españoles todo son siempre denuncias falsas para vosotros), mientras que los de los extranjeros alcanzan portada como un cohete sin que os acordéis ni por un segundo de la presunción de inocencia de los acusados.",1
d_13_02,Imagina un país como la India dónde hay millones de personas en castas inferiores que no protestan aunque los trates como ratas,1
d_1248_02,"La creación de una ""ley de violencia inmigrante"" que castigue más duramente los delitos cometidos por extranjeros?",1
d_1031_01,"Para que no delincan, estos jovenes necesitan claramente una paguita, como se viene realizando desde hace muchos años con otros.",1
d_1404_02,"En cambio en este caso se blaquea y a cierto grupo de agresores, con argumentos de mierda policorrectistas, clamando por sus derechos y obviando que también tienen deberes.",1
d_2223_01,¿Sabe la PAVA esta si está abrazando a alguno del Boko Haram con asesinatos y violaciones a sus espaldas?,0
d_2397_03,"Cuando tienes 0 política exterior y haces políticas de acoger a todo lo que llegue pues hala, te llega esto y seguramente es el comienzo de muchos más.",1
d_1146_03,"Lo que sufre esta gente por tener a la banda criminal MENA, no sólo en el Batán sino en mucho otros sitios, no lo denuncian los buenistas, que por otra parte, los podían meter en sus casas.",0
d_697_04,"Si os fijáis el día de las elecciones en vuestro colegio electoral, veréis que los latinos y magrebíes ya nacionalizados votan masivamente al PSOE y Podemos, pues quieren seguir viviendo de las paguitas que pagamos los españoles.",0
d_319_02,Pues anda que no se escuchan historias de tirar inmis por la borda por ser cristianos y no musulmanes...,1
d_1021_03,"pues no estoy de acuerdo que esa gentuza esté en nuestro país mantenida con nuestros impuestos, ayer pillaron a un Nigeriano que estafó en paguitas más de 80.000 eurazos en el País Vasco, claro, si hubiese sido español ni un dura percibía...!!!",1
d_1174_02,"Pero bueno como somos tan guays pues nada nos los tenemos que comer, primero de menores y luego de mayores, paguita al canto y efecto llamada para que sigan viniendo, a todos estos los mandaba donde viven estos politicos progres que tanto los defienden, y después de un tiempo les preguntamos que opinan entonces.",0
d_696_04,"Los inmigrantes no tienen papepeles, pero una gran parte de empresarios agricolas y de la construcción,los emplea en semi esclavitud.",1
d_535_01,"Lo que faltaba! Con medio pais en Erte y los que quedaran en paro, vamos a regularizar inmigrantes para que haya muchos mas cobrando del estado.",0
d_678_04,"Echar no se los puede echar, ni con ellos aquí tenemos mano de obra barata suficiente, cómo los vamos a echar?.",1
d_1578_02,"Chica, ésta gente ha venido a quedarse y la mayoría de ellos a lo mejor mañana podrían atacar a tu abuela por la calle para robarle el bolso; porque son lo que son, una sociedad muy poco evolucionada que no va a adaptarse a la vida occidental y serán nuevos chupópteros del Estado (Repito, en su MAYORÍA).",0
d_289_01,"ea, pues el cortacabezas a la cárcel a que viva de puta madre a costa del contribuyente Español y a los restantes una paguita por la depresión que han cogido al ver una cosa así.",0
d_1290_03,"Yo soy rumano y estaría encantado si expulsan a los rumanos que delinquen, incluso delitos menores o hurtos.",1
d_1354_01,"No lo he calculado, pero te puedo garantizar una cosa: el porcentaje de asesinatos ""machistas"" cometidos por extranjeros es muy superior al porcentaje de extranjeros en España, más del doble, y creo que si me mojase diciendo que el triple aún me quedaría corta.",0
d_1201_04,Han delinquido.,0
d_2514_01,"Pais de cachondeo,esa gentuza sabe donde armarla,Llamarán a Marlaska para que les dejen quedarse a cambio de votos.",1
d_156_02,"Hay países en los que la única ""educación"" para los pobres es la coránica, con lo que no se saldrá del atraso y la ignorancia hasta que se consiga erradicar esto.",0
d_349_01,Son sus costumbres y hay que respetarlas,1
d_564_01,Muy lógico. 4 millones de parados y regularizando ilegales...,0
d_2299_01,En estos casos lo mejor es dejarlos caer antes de aterrizar.,0
d_1426_05,Para qué narices tiene que hacer un español un cursillo de igualdad si ya la hemos aprendido desde la cuna?,0
d_2416_01,Pobres incautos. Salen como locos en vuelo directo a los invoxnaderos a trabajar por 3€ la hora.,1
d_523_01,Acepto que regularicen 100 inmigrantes ilegales si a cambio se lo llevan a Echenique.,0
d_1167_01,"Gracias a Podemos y al Psoe, en España está entrando lo mejorcito del exterior...",0
d_90_03,... por tanto no hay que dejar que nos impongan ni moderados ni radicales,1
d_1881_01,"en vista de que esto va a ser una avalancha de vuelos desviados, la IATA organización mundial de la aviación y la misma UE deberían prohibir que los vuelos marroquíes dejen de volar por el espacio aéreo europeo, bloqueo total",0
d_1316_02,Los extranjeros delinquen mas.,0
d_1615_01,Se puede ayudar pero no olvidar que te eestan invadiendo.,1
d_599_01,"Intentan crear una bolsa de votantes, primero les damos pasta, luego les nacionalizamos y ya si eso que nos voten.",0
d_430_01,Lo que está claro es que ha llegado un ladrón menos.,1
d_2508_04,Todos los países tienen fronteras y con leyes duras al q entra y aquí no pasa nada,0
d_1669_01,Le estaba diciendo... tú no te preocupes que en nada te damos un piso de protección oficial y te enchufamos la paguita del IMV a costa de esos españoles tan tontos que trabajan para ti.,1
d_1182_03,El Parlamento de Cataluña aprueba con los votos favorables de PP + C's la ampliación de las 'paguitas' para MENAS hasta los 23 años.,1
d_452_01,Podemos montar una conjunta forocochera para que esta bella persona tenga su paguita no?,1
d_1907_01,"El gobierno está con los invasores, como en 1812.",1
d_1242_02,Para esta gente no debería haber consideración alguna y proceder a la expulsión inmediata del país.,1
d_279_01,Vienen a pagarnos las pensiones,1
d_153_01,"Los habrá que no denuncien por miedo, pero otros muchos porque, aunque no dan el salto a terroristas, están a favor y se alegran de sus actos.",1
d_758_02,"En Cataluña trajeron a miles de musulmanes, subvencionados, voto cautivo y se les fue de las manos con los radicales, Menas, temporeros con virus, en Lérida, etc.",1
d_577_01,"El efecto llamado del impresentable gobierno, se llama colonización, esto es en para todos los efectos una llamada a la colonización, y los incentiva con ayudas, rentas y beneficios, con un único fin conseguir más y más votos, para no tener que dejar el poder, vergüenza de políticos del gobierno, los responsables y los de la oposición, porque no saben ser tampoco buena oposición, España y los Españoles no se merecen a estos parásitos, asesinos y sinvergüenzas.",0
d_605_03,"Dejar que entren, pero que trabajen, tratarles como españoles, pero no darles subvenciones...",0
d_1134_01,Esto cualquier dia explotara abra algun espańol que todavia tnga valor y se montara una muy gorda pero mientras les regalemos cosas y los dejen robar seguiran liandolas.unos menores y tienen al pueblo asustado pero donde se vio,1
d_2475_01,"O no, pueden escoger vivir en el centro como OKUPA, a elección.",0
d_2227_02,"Resulta que miles de españoles y yo que trabajamos de sol a sol somos los que pagamos estas acogidas con nuestros impuestos, no tú , guapa.",0
d_2353_06,"La ultraizquierda y el progresismo, utilizan la seguridad y el control de fronteras y de personas, como arma arrojadiza para llamar facha y xenófobos a una gran mayoría de la ciudadanía que clama por un control efectivo de este fenómeno y de los riesgos implícitos que conlleva que cualquier indocumentado pueda poner un pie en continente europeo.",1
d_1226_02,"No quiero que estén en España, y quiero que se les expulse.",1
d_1867_01,Pero tienen paguita o no?,1
d_1635_01,"Que se les atienda no quier decir que olvidemos que estan invadiendo un terreno, tampoco que les tenagmso que regalar lo que a gente de aquí le falta.",1
d_1870_02,"Así, todos los ilegales votarán contra los que trabajan, que cada vez serán menos,porque todos querrán vivir del subsidio estatal.Y",1
d_2039_13,Hay más de 130 cortes de sharia musulmanes,0
d_2503_02,Esto cortaría de raiz la inmigración ilegal.,0
d_987_02,"Y saldrán los listos, que si los españoles nos fuimos en los 60, si claro, a trabajar, con contrato de trabajo firmado antes y no a delinquir.",0
d_1446_01,Es curioso que en un caso de violación o agresión de extranjeros metas con calzador la violencia machista.,0
d_674_02,"Al final denuncian al marido, les dan la residencia les dan un piso y ambos gratis en un piso juntos.",1
d_826_03,"La paguita, nada nuevo",1
d_368_01,Que le pongan de charcutero en un Carrefour y empiece a pagarnos las pensiones,1
d_1696_05,En una palabra: impunidad.,0
d_629_02,"Esto es como lo de aquellos que dicen no ser racistas pero si ven a su hija con un musulmán de novio se desmayan, pero es más por el hecho de que pueden existir ciertas incompatibilidades religiosas, ideológicas y culturales, por muy honrado que sea el sujeto y por la parte de el, también en cuanto ella o la familia no quiera asumir su religión para casarse y cosas así.",0
d_2378_01,A estos como los argelinos que llegan en patera les dan 300 euros a cada uno y el billete en el ferry a Barcelona. Y no es fake.,1
d_1181_02,Los MENAS siguen generando inseguridad.,0
d_1642_01,Responder a un abrazo angustiado de quien viene de jugarse la vida es casi un imperativo moral.,0
d_811_01,"Dejame adivinar: regularizarlos, y darles una paguita con el dinero que nos saquean y arrebatan a nuestros hijos, y además darles derecho a voto.",0
d_2525_01,"Los detuvo, pero quedarán libres y se irán de rositas.",0
d_1133_03,"Eso si, de la delincuencia de los inmigrantes poca información en los medios porque somos muy “racistas” pero si el delito es cometido por españoles, la nacionalidad va por delante.",0
d_623_01,"600.000 boquitas más a las que dar una paga por la jeta, que a los españoles nos sobra la pasta para eso y más.",1
d_1176_03,"Que tanto su hija como ella, son conscientes de los graves problemas que sufren estos menores que deben ser tratados...",1
d_835_01,"Ganando votos, a esas personas lo que hay que hacer es expulsaralas inmediatamente",0
d_2059_01,Petra ¿A cual de todos? A lo que por ejemplo han dejado a sueltos y en libertad a 3 fénomenos (marroquíes( que en Mallorca violaron y torturaron a una chica?,1
d_1221_01,"Señora Nuria ,aunque supongo será un nombre ficticio,no se puede amparar y proteger el delito ,aunque lo diga Soros,sus ONGs los nuevos negreros y si me lo permite hasta el Papa y esos jóvenes son delincuentes.",0
d_820_03,Selección de quienes y por qué motivos se solicita la nacionalidad.,0
d_337_02,Y pretenden que se integren en una sociedad occidental del siglo XXI...,1
d_750_03,"Primero papeles para todos, después pagas, beneficios por reunificación familias. etc...",1
d_844_01,Que bien. Así los españoles desfavorwcidos pueden presentarse com una identidad imventada u empezar a disfrutar de los derechos de los ilegales que a ellos les son negados,1
d_1369_03,"La gente de bien, que siga viniendo, yo encantado, no he tenido un problema con un inmigrante en mi vida.",1
d_668_03,Las labores del campo han recaido sobre las espaldas de migrantes y gracias a ellos los supermercados han estado abastecidos.,1
d_920_01,"en su país es legal, no seas racista.",1
d_1018_04,Ya ves lo ocurrido a las muchas personas atacadas por ellos...,1
d_384_01,"Paguita a todos y a vivir la vida, que estan traumados.",1
d_1065_01,"Es alucinante la mentalidad progresista de esta señora que consiste en que la victima pide perdon a los 2 criminales por que ha tenido que describirlos, pero insiste en que tal descripción no es por racismo y que tampoco los criminales hay que desplazarlos a su pais de origen y que sus delitos han de continuar aqui en otros cuellos siempre que no sean ella y su querida hija Marta.",1
d_731_01,"Pues 600.000 votos mas para podemos y 300 o 400 mil salarios con cargo a los contribuyentes,",1
d_2454_01,¿PRISION? Y ¿DARLES DE COMER Y UNA CAMA? O MEDIDAS DE REINSERCIÓN Y 500 EUROS AL MES AL SALIR?,1
d_1107_05,"hace  unos días,  hablamos de las estafas que cometen los inmigrantes al solicitar las ayudas ,  hace poco, por robar otro móvil,  una persona fue asesinada ...",0
d_988_02,"Yo, SÍ QUIERO que esta escoria se vaya a su país, Marruecos,y que no vuelvan a poner un pie en España ni en tránsito.",1
d_1243_02,"Como si no hubiera chusma local encima tener que aguantar a gentuza de Marruecos, América o Rumania",1
d_553_01,"Es la forma que tienen estos de podemos de comprar votos, después les dan una paga vitalicia y ya tienen mas de 600.000 votos.",1
d_639_01,Eso se llama COMPRA DE VOTOS y perdida de derechos a los nativos de España,0
d_2219_01,La joven Luna debería buscarse un trabajo digno y productivo que no consista en parasitarnos y servir a la mafia globalista de tráfico de humanos y rendición y esclavización de Occidente.,0
